         12276741 function calls (11869163 primitive calls) in 10.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.053   10.053 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/main.py:55(main)
        1    0.000    0.000    9.608    9.608 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/main.py:14(__init__)
        1    0.000    0.000    9.608    9.608 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/windfields.py:53(make_wind_field)
        1    0.000    0.000    9.608    9.608 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/windfields.py:25(__init__)
        1    0.000    0.000    9.492    9.492 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/utils.py:36(regularly_sampled_coords_in_polygon)
        1    0.004    0.004    9.491    9.491 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/utils.py:47(<listcomp>)
      441    0.026    0.000    9.381    0.021 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/polygon.py:693(encloses_point)
     3086    0.029    0.000    8.329    0.003 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:521(is_collinear)
     3086    0.025    0.000    8.067    0.003 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:311(affine_rank)
     3086    0.006    0.000    5.888    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:159(rank)
     3086    0.036    0.000    5.881    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/reductions.py:178(_rank)
104411/57722    0.106    0.000    4.629    0.000 {built-in method builtins.any}
     2071    0.005    0.000    4.434    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/polygon.py:736(<genexpr>)
     1634    0.002    0.000    4.430    0.003 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/line.py:82(__contains__)
